Passenger Class,Survived,Status,Age,Age Group,Passenger Class & Age Group,Number of Passengers,Survival Rate
1,0,Deceased,18,Adult,1st Class - Adult,1,62%
1,1,Survived,18,Adult,1st Class - Adult,1,62%
1,1,Survived,18,Adult,1st Class - Adult,1,62%
1,1,Survived,18,Adult,1st Class - Adult,1,62%
1,1,Survived,18,Adult,1st Class - Adult,1,62%
1,1,Survived,18,Adult,1st Class - Adult,1,62%
1,0,Deceased,19,Adult,1st Class - Adult,1,62%
1,0,Deceased,19,Adult,1st Class - Adult,1,62%
1,1,Survived,19,Adult,1st Class - Adult,1,62%
1,1,Survived,19,Adult,1st Class - Adult,1,62%
1,1,Survived,19,Adult,1st Class - Adult,1,62%
1,0,Deceased,21,Adult,1st Class - Adult,1,62%
1,1,Survived,21,Adult,1st Class - Adult,1,62%
1,1,Survived,21,Adult,1st Class - Adult,1,62%
1,1,Survived,21,Adult,1st Class - Adult,1,62%
1,1,Survived,21,Adult,1st Class - Adult,1,62%
1,0,Deceased,22,Adult,1st Class - Adult,1,62%
1,1,Survived,22,Adult,1st Class - Adult,1,62%
1,1,Survived,22,Adult,1st Class - Adult,1,62%
1,1,Survived,22,Adult,1st Class - Adult,1,62%
1,1,Survived,22,Adult,1st Class - Adult,1,62%
1,1,Survived,22,Adult,1st Class - Adult,1,62%
1,1,Survived,22,Adult,1st Class - Adult,1,62%
1,0,Deceased,23,Adult,1st Class - Adult,1,62%
1,1,Survived,23,Adult,1st Class - Adult,1,62%
1,1,Survived,23,Adult,1st Class - Adult,1,62%
1,1,Survived,23,Adult,1st Class - Adult,1,62%
1,1,Survived,23,Adult,1st Class - Adult,1,62%
1,1,Survived,23,Adult,1st Class - Adult,1,62%
1,0,Deceased,24,Adult,1st Class - Adult,1,62%
1,0,Deceased,24,Adult,1st Class - Adult,1,62%
1,0,Deceased,24,Adult,1st Class - Adult,1,62%
1,1,Survived,24,Adult,1st Class - Adult,1,62%
1,1,Survived,24,Adult,1st Class - Adult,1,62%
1,1,Survived,24,Adult,1st Class - Adult,1,62%
1,1,Survived,24,Adult,1st Class - Adult,1,62%
1,1,Survived,24,Adult,1st Class - Adult,1,62%
1,1,Survived,24,Adult,1st Class - Adult,1,62%
1,0,Deceased,25,Adult,1st Class - Adult,1,62%
1,0,Deceased,25,Adult,1st Class - Adult,1,62%
1,1,Survived,25,Adult,1st Class - Adult,1,62%
1,1,Survived,25,Adult,1st Class - Adult,1,62%
1,1,Survived,25,Adult,1st Class - Adult,1,62%
1,1,Survived,26,Adult,1st Class - Adult,1,62%
1,1,Survived,26,Adult,1st Class - Adult,1,62%
1,1,Survived,26,Adult,1st Class - Adult,1,62%
1,0,Deceased,27,Adult,1st Class - Adult,1,62%
1,0,Deceased,27,Adult,1st Class - Adult,1,62%
1,1,Survived,27,Adult,1st Class - Adult,1,62%
1,1,Survived,27,Adult,1st Class - Adult,1,62%
1,1,Survived,27,Adult,1st Class - Adult,1,62%
1,1,Survived,27,Adult,1st Class - Adult,1,62%
1,1,Survived,27,Adult,1st Class - Adult,1,62%
1,0,Deceased,28,Adult,1st Class - Adult,1,62%
1,0,Deceased,28,Adult,1st Class - Adult,1,62%
1,1,Survived,28,Adult,1st Class - Adult,1,62%
1,1,Survived,28,Adult,1st Class - Adult,1,62%
1,1,Survived,28,Adult,1st Class - Adult,1,62%
1,0,Deceased,28.5,Adult,1st Class - Adult,1,62%
1,0,Deceased,29,Adult,1st Class - Adult,1,62%
1,0,Deceased,29,Adult,1st Class - Adult,1,62%
1,1,Survived,29,Adult,1st Class - Adult,1,62%
1,1,Survived,29,Adult,1st Class - Adult,1,62%
1,0,Deceased,30,Adult,1st Class - Adult,1,62%
1,0,Deceased,30,Adult,1st Class - Adult,1,62%
1,0,Deceased,30,Adult,1st Class - Adult,1,62%
1,0,Deceased,30,Adult,1st Class - Adult,1,62%
1,1,Survived,30,Adult,1st Class - Adult,1,62%
1,1,Survived,30,Adult,1st Class - Adult,1,62%
1,1,Survived,30,Adult,1st Class - Adult,1,62%
1,1,Survived,30,Adult,1st Class - Adult,1,62%
1,1,Survived,30,Adult,1st Class - Adult,1,62%
